smiles,is_druggable,mol_weight,num_H_acceptors,num_H_donors,logp,tpsa,num_rot_bonds,saturation,drug_score_qed,drug_score_lipinski,drug_score_custom,drug_score_total
C1C=C=NC2=C(C)N1C#C2,False,130.15,2,0,1.27,17.29,0,0.25,0.5,1.0,0.47,0.57
C12OC1(N=CC3=C)C=CC=C32,False,145.161,2,0,1.22,24.89,0,0.22,0.47,1.0,0.49,0.56
C=CN=C(CN=C)C=C1CNC=CC1=CC=CC=CN(C)C=CC2=CC=C2C=CC#CN,False,423.564,5,2,4.1,66.01,10,0.11,0.24,1.0,0.53,0.46
C1[C@H1](C)NCCC(C=C2CCOC=C2C)CC(C)C1C(O)CCCCC3CN3C=CC,False,430.677,4,2,5.41,44.5,8,0.78,0.4,0.75,0.63,0.54
COC=CC=C1C(=C)C=CN1C=C2C=CCC=C2C,True,253.345,2,0,2.59,14.16,3,0.18,0.76,1.0,0.66,0.77
C1COS=CC(=CCN2)C(=O)C=C1C2(C=C)N=C=O,False,278.333,5,2,0.83,67.76,2,0.31,0.26,1.0,0.72,0.54
CN1CC2C1C2(CN=C(C)C3C=CC=C)C3=C,False,228.339,2,0,2.31,15.6,2,0.53,0.52,1.0,0.74,0.67
C=CC=C1C(=CC=C)C1C=C2C(OCC=C=CC=C3O)C4=CN3C=CC4C(=O)C(=C)N=C2,False,424.5,5,1,4.77,62.13,3,0.15,0.52,1.0,0.64,0.64
C1CC2N(C1CC=C2C)C(=C=NC#CNC=CNC=CC)C3=CC=CC#C3,False,356.473,4,2,3.58,39.66,5,0.3,0.37,1.0,0.76,0.6
C12N(C(CN13)C3O)C=C2C4C(O)CC=C4C=O,True,234.255,5,2,-0.97,64.01,2,0.58,0.6,1.0,0.74,0.71
CC(C)C=CC=C(CC=CCCC=O)CCC=O,False,248.366,2,0,4.03,34.14,10,0.5,0.25,1.0,0.66,0.51
C1=CC1=C,False,52.076,0,0,1.11,0.0,0,0.0,0.39,1.0,0.31,0.46
C1CCNCNC=C1C,False,126.203,2,2,0.82,24.06,0,0.71,0.5,1.0,0.62,0.62
